youtube.com 216.58.195.78
facebook.com 31.13.70.36
yahoo.com 74.6.143.25
live.com 204.79.197.212
msn.com 13.82.28.61
baidu.com 39.156.69.79
wikipedia.org 198.35.26.96
microsoft.com 40.113.200.201
qq.com 58.247.214.47
taobao.com 140.205.94.189
blogspot.com 216.58.195.73
bing.com 204.79.197.200
soso.com 119.28.109.132
163.com 123.58.180.8
sina.com.cn 123.125.104.150
ask.com 151.101.42.114
adobe.com 193.104.215.58
twitter.com 104.244.42.65
mozilla.com 44.236.72.93
sdjjdsaf.com 
andysayler.com 159.89.253.85
wmfo.org 23.92.21.128
youku.com 106.11.43.158
amazon.com 176.32.98.166
tudou.com 106.11.43.107
yahoo.co.jp 182.22.59.229
wordpress.com 192.0.78.17
apple.com 17.253.144.10
hao123.com 106.120.159.68
windows.com 104.215.148.63
ebay.com 66.135.195.175
pps.tv 116.211.199.230
xunlei.com 112.124.227.84
sohu.com 211.159.191.18
fc2.com 52.27.98.36
paypal.com 64.4.250.37
sogou.com 118.191.216.57
tmall.com 140.205.94.193
ku6.com 117.50.1.222
rakuten.co.jp 133.237.16.234
about.com 151.101.2.137
orkut.com.br 132.148.40.250
ifeng.com 123.103.122.24
56.com 183.232.65.145
bbc.co.uk 151.101.192.81
yandex.ru 77.88.55.80
myspace.com 63.135.90.70
goo.ne.jp 114.179.184.93
cnet.com 35.190.79.82
go.com 23.236.60.174
4399.com 129.211.129.109
orkut.com 216.239.34.21
skype.com 40.121.80.200
ameblo.jp 151.101.65.83
naver.com 223.130.195.200
flickr.com 99.84.234.85
4shared.com 204.155.149.43
amazon.co.jp 52.119.164.121
linkedin.com 108.174.10.10
dailymotion.com 195.8.215.136
imdb.com 52.94.225.248
aol.com 124.108.115.100
hotmail.com 204.79.197.212
360.cn 36.110.213.10
craigslist.org 208.82.237.129
mail.ru 217.69.139.202
soku.com 106.11.186.1
alibaba.com 198.11.132.198
renren.com 120.133.2.242
livedoor.jp 203.104.153.16
weather.com 23.64.188.71
vkontakte.ru 87.240.190.72
answers.com 151.101.128.203
rapidshare.com 0.0.0.0
daum.net 211.231.99.80
blogger.com 172.217.164.105
2345.com 14.29.109.15
photobucket.com 13.226.159.24
mediafire.com 104.16.202.237
ehow.com 23.65.41.18
seesaa.net 59.106.98.142
paipai.com 106.39.169.133
7k7k.com 157.185.156.194
softonic.com 35.227.233.104
nifty.com 222.158.213.148
imageshack.us 208.94.3.18
cnn.com 151.101.65.67
tianya.cn 124.225.65.154
mywebsearch.com 34.102.244.163
zynga.com 13.35.121.57
partypoker.com 195.72.134.91
hp.com 15.73.104.147
walmart.com 161.170.230.170
kugou.com 183.131.48.92
ebay.de 66.135.196.249
youdao.com 103.72.47.248
alipay.com 110.75.129.5
qiyi.com 111.206.13.63
pconline.com.cn 219.136.244.85
odnoklassniki.ru 217.20.155.13
jp.msn.com 13.88.15.24
hotfile.com 
