facebook.com 157.240.22.35
youtube.com 172.217.5.110
yahoo.com 74.6.143.25
live.com 204.79.197.212
wikipedia.org 198.35.26.96
msn.com 13.82.28.61
baidu.com 39.156.69.79
blogspot.com 172.217.6.73
microsoft.com 40.113.200.201
qq.com 125.39.52.26
taobao.com 140.205.94.189
bing.com 204.79.197.200
sina.com.cn 123.126.55.41
soso.com 118.191.216.42
163.com 0.0.0.0
ask.com 151.101.42.114
adobe.com 192.147.130.204
twitter.com 104.244.42.193
mozilla.com 63.245.208.194
youku.com 106.11.43.215
sdjjdsaf.com 
andysayler.com 159.89.253.85
wmfo.org 23.92.21.128
amazon.com 176.32.103.205
wordpress.com 192.0.78.17
tudou.com 106.11.43.107
yahoo.co.jp 183.79.135.206
sohu.com 211.159.191.18
apple.com 17.172.224.47
hao123.com 106.120.159.68
windows.com 104.215.148.63
ebay.com 66.135.196.249
pps.tv 116.211.199.235
xunlei.com 112.124.227.84
56.com 183.232.65.145
fc2.com 34.218.200.224
paypal.com 64.4.250.36
sogou.com 118.191.216.57
tmall.com 140.205.130.99
ku6.com 117.50.1.222
rakuten.co.jp 133.237.16.234
about.com 0.0.0.0
orkut.com.br 132.148.40.250
ifeng.com 123.103.122.24
goo.ne.jp 114.179.184.93
bbc.co.uk 151.101.0.81
yandex.ru 5.255.255.5
myspace.com 63.135.90.70
mail.ru 217.69.139.202
cnet.com 35.190.79.82
go.com 23.236.60.174
4399.com 129.211.129.109
orkut.com 216.239.38.21
skype.com 40.115.34.155
ameblo.jp 151.101.1.83
naver.com 210.89.160.88
flickr.com 99.84.234.85
4shared.com 204.155.149.41
amazon.co.jp 52.119.164.121
linkedin.com 108.174.10.10
dailymotion.com 195.8.215.136
imdb.com 52.94.237.74
aol.com 106.10.248.150
hotmail.com 204.79.197.212
360.cn 36.99.170.84
craigslist.org 208.82.237.129
weather.com 23.192.169.70
soku.com 106.11.47.20
alibaba.com 198.11.132.198
renren.com 120.133.2.241
livedoor.jp 203.104.153.16
blogger.com 216.58.194.169
vkontakte.ru 87.240.190.78
answers.com 151.101.192.203
rapidshare.com 0.0.0.0
daum.net 203.133.167.16
7k7k.com 157.185.156.194
2345.com 14.29.109.15
photobucket.com 52.84.137.34
mediafire.com 104.16.202.237
ehow.com 184.30.177.147
seesaa.net 59.106.98.142
paipai.com 106.39.169.133
alipay.com 110.75.129.5
softonic.com 35.227.233.104
nifty.com 222.158.213.148
imageshack.us 208.94.3.18
cnn.com 151.101.1.67
tianya.cn 124.225.65.154
mywebsearch.com 0.0.0.0
zynga.com 13.35.121.118
partypoker.com 195.72.134.91
hp.com 15.72.164.74
walmart.com 161.170.232.170
kugou.com 183.131.48.92
ebay.de 66.135.196.249
youdao.com 103.72.47.249
hotfile.com 18.207.9.28
qiyi.com 111.206.13.63
pconline.com.cn 219.136.244.85
odnoklassniki.ru 217.20.147.1
jp.msn.com 13.88.15.24
