facebook.com 2a03:2880:f1ff:83:face:b00c:0:25de
youtube.com 2607:f8b0:4005:804::200e
yahoo.com 2001:4998:44:3507::8001
live.com 204.79.197.212
wikipedia.org 2620:0:863:ed1a::1
msn.com 13.82.28.61
baidu.com 220.181.38.148
blogspot.com 2607:f8b0:4005:808::2009
microsoft.com 13.77.161.179
qq.com 58.250.137.36
taobao.com 140.205.220.96
bing.com 2620:1ec:c11::200
sina.com.cn 49.7.37.133
soso.com 118.191.216.42
163.com 123.58.180.7
ask.com 151.101.42.114
adobe.com 193.104.215.58
twitter.com 104.244.42.129
mozilla.com 44.236.48.31
youku.com 2408:4001:f10::fd
sdjjdsaf.com 
andysayler.com 159.89.253.85
wmfo.org 23.92.21.128
amazon.com 176.32.98.166
wordpress.com 192.0.78.9
tudou.com 106.11.43.107
yahoo.co.jp 182.22.59.229
sohu.com 211.159.191.18
apple.com 17.253.144.10
hao123.com 202.106.2.86
windows.com 40.76.4.15
ebay.com 66.135.196.249
pps.tv 116.211.199.231
xunlei.com 2400:3200:1500::55
56.com 183.232.65.145
fc2.com 34.218.200.224
paypal.com 64.4.250.37
sogou.com 119.28.109.132
tmall.com 140.205.94.193
ku6.com 117.50.1.222
rakuten.co.jp 133.237.16.234
about.com 2a04:4e42:400::645
orkut.com.br 132.148.40.250
ifeng.com 123.103.122.24
goo.ne.jp 114.179.184.93
bbc.co.uk 2a04:4e42:200::81
yandex.ru 2a02:6b8:a::a
myspace.com 63.135.90.70
mail.ru 2a00:1148:db00:0:b0b0::1
cnet.com 35.190.79.82
go.com 23.236.60.174
4399.com 129.211.129.109
orkut.com 2001:4860:4802:32::15
skype.com 104.40.50.126
ameblo.jp 151.101.65.83
naver.com 223.130.195.200
flickr.com 99.84.234.85
4shared.com 204.155.149.41
amazon.co.jp 52.119.164.121
linkedin.com 2620:109:c002::6cae:a0a
dailymotion.com 195.8.215.136
imdb.com 52.94.228.167
aol.com 124.108.115.100
hotmail.com 204.79.197.212
360.cn 36.110.213.10
craigslist.org 208.82.237.129
weather.com 23.204.59.173
soku.com 106.11.186.25
alibaba.com 205.204.101.142
renren.com 120.133.2.242
livedoor.jp 203.104.153.16
blogger.com 2607:f8b0:4005:80b::2009
vkontakte.ru 87.240.137.158
answers.com 151.101.0.203
rapidshare.com 0.0.0.0
daum.net 211.231.99.80
7k7k.com 157.185.175.102
2345.com 58.211.78.133
photobucket.com 2600:9000:2204:6800:c:873e:f1c0:93a1
mediafire.com 104.16.203.237
ehow.com 104.99.70.21
seesaa.net 59.106.28.142
paipai.com 106.39.169.133
alipay.com 110.75.139.5
softonic.com 35.227.233.104
nifty.com 222.158.213.148
imageshack.us 208.94.3.19
cnn.com 2a04:4e42:200::323
tianya.cn 124.225.65.154
mywebsearch.com 34.102.244.163
zynga.com 2600:9000:2202:7000:d:1ef8:92c0:93a1
partypoker.com 195.72.134.91
hp.com 15.72.164.74
walmart.com 161.170.232.170
kugou.com 183.131.48.92
ebay.de 66.135.196.249
youdao.com 103.72.47.248
hotfile.com 18.207.9.28
qiyi.com 111.206.13.63
pconline.com.cn 219.136.244.85
odnoklassniki.ru 217.20.147.1
jp.msn.com 13.88.15.24
