amazon.com 176.32.103.205
facebook.com 2a03:2880:f1ff:83:face:b00c:0:25de
ifeng.com 123.103.122.24
hotmail.com 204.79.197.212
paipai.com 106.39.169.133
youtube.com 2607:f8b0:4005:807::200e
360.cn 36.99.170.84
wordpress.com 192.0.78.9
alipay.com 110.75.129.5
goo.ne.jp 114.179.184.93
craigslist.org 208.82.237.129
softonic.com 35.227.233.104
bbc.co.uk 2a04:4e42:400::81
yahoo.com 2001:4998:44:3507::8001
tudou.com 106.11.43.215
nifty.com 222.158.213.148
weather.com 104.100.110.92
yandex.ru 2a02:6b8:a::a
live.com 204.79.197.212
yahoo.co.jp 183.79.135.206
imageshack.us 208.94.3.18
soku.com 106.11.186.1
myspace.com 63.135.90.70
wikipedia.org 2620:0:863:ed1a::1
sohu.com 211.159.191.18
cnn.com 2a04:4e42:200::323
apple.com 17.253.144.10
alibaba.com 198.11.132.198
msn.com 13.82.28.61
mail.ru 2a00:1148:db00:0:b0b0::1
tianya.cn 124.225.65.154
hao123.com 106.120.159.68
renren.com 120.133.2.243
baidu.com 39.156.69.79
mywebsearch.com 34.102.244.163
cnet.com 35.190.79.82
windows.com 104.215.148.63
livedoor.jp 203.104.153.16
blogspot.com 2607:f8b0:4005:80b::2009
zynga.com 2600:9000:2146:3600:d:1ef8:92c0:93a1
go.com 23.236.60.174
ebay.com 66.135.195.175
blogger.com 2607:f8b0:4005:80b::2009
microsoft.com 40.76.4.15
partypoker.com 195.72.134.91
4399.com 129.211.129.109
pps.tv 116.211.199.231
vkontakte.ru 87.240.137.158
qq.com 58.247.214.47
hp.com 15.72.164.74
orkut.com 2001:4860:4802:36::15
xunlei.com 2408:4004:f8::17c
answers.com 151.101.0.203
taobao.com 140.205.220.96
walmart.com 161.170.232.170
skype.com 23.102.255.237
56.com 183.232.65.145
rapidshare.com 0.0.0.0
bing.com 2620:1ec:c11::200
kugou.com 183.131.48.92
ameblo.jp 151.101.193.83
fc2.com 199.48.210.151
daum.net 211.231.99.17
sina.com.cn 123.126.55.41
ebay.de 66.135.195.175
naver.com 223.130.195.95
paypal.com 64.4.250.36
7k7k.com 157.185.156.194
soso.com 119.28.109.132
youdao.com 103.72.47.248
flickr.com 99.84.234.85
sogou.com 119.28.109.132
163.com 123.58.180.8
2345.com 14.29.109.15
hotfile.com 
4shared.com 204.155.149.43
tmall.com 140.205.94.193
ask.com 151.101.54.114
photobucket.com 2600:9000:2171:9a00:c:873e:f1c0:93a1
qiyi.com 111.206.13.63
amazon.co.jp 52.119.161.5
ku6.com 117.50.1.222
adobe.com 193.104.215.58
mediafire.com 104.16.202.237
pconline.com.cn 219.136.244.85
linkedin.com 2620:109:c002::6cae:a0a
rakuten.co.jp 133.237.16.234
twitter.com 104.244.42.1
ehow.com 184.30.177.147
odnoklassniki.ru 5.61.23.11
about.com 2a04:4e42::649
dailymotion.com 195.8.215.136
mozilla.com 44.236.48.31
seesaa.net 59.106.98.142
jp.msn.com 13.88.15.24
orkut.com.br 132.148.40.250
imdb.com 52.94.225.248
youku.com 2408:4001:f00::1af
aol.com 106.10.248.150
sdjjdsaf.com 
andysayler.com 159.89.253.85
wmfo.org 23.92.21.128
