amazon.com 176.32.103.205
facebook.com 2a03:2880:f1ff:83:face:b00c:0:25de
hotmail.com 204.79.197.212
ifeng.com 123.103.122.24
paipai.com 106.39.169.133
wordpress.com 192.0.78.9
youtube.com 2607:f8b0:4005:808::200e
360.cn 36.99.170.84
goo.ne.jp 114.179.184.93
alipay.com 110.75.139.5
tudou.com 106.11.43.71
craigslist.org 208.82.237.129
yahoo.com 2001:4998:44:3507::8001
softonic.com 35.227.233.104
bbc.co.uk 2a04:4e42::81
live.com 204.79.197.212
yahoo.co.jp 183.79.135.206
nifty.com 222.158.213.148
weather.com 104.100.110.92
yandex.ru 2a02:6b8:a::a
wikipedia.org 2620:0:863:ed1a::1
sohu.com 211.159.191.18
imageshack.us 208.94.3.18
soku.com 106.11.186.1
myspace.com 63.135.90.70
msn.com 13.82.28.61
apple.com 17.253.144.10
cnn.com 2a04:4e42::323
alibaba.com 205.204.101.142
mail.ru 2a00:1148:db00:0:b0b0::1
baidu.com 220.181.38.148
hao123.com 202.106.2.86
tianya.cn 124.225.65.154
renren.com 120.133.2.243
cnet.com 35.190.79.82
blogspot.com 2607:f8b0:4005:808::2009
windows.com 13.77.161.179
mywebsearch.com 34.102.244.163
livedoor.jp 203.104.153.16
go.com 23.236.60.174
microsoft.com 40.112.72.205
ebay.com 66.135.196.249
zynga.com 2600:9000:20c5:b000:d:1ef8:92c0:93a1
blogger.com 2607:f8b0:4005:80b::2009
4399.com 129.211.129.109
qq.com 125.39.52.26
pps.tv 116.211.199.231
vkontakte.ru 87.240.190.72
partypoker.com 195.72.135.91
orkut.com 2001:4860:4802:38::15
taobao.com 140.205.220.96
xunlei.com 2400:3200:1500::55
answers.com 151.101.192.203
hp.com 15.73.192.108
skype.com 104.40.50.126
bing.com 2620:1ec:c11::200
56.com 183.232.65.145
rapidshare.com 0.0.0.0
walmart.com 161.170.232.170
ameblo.jp 151.101.65.83
sina.com.cn 123.125.104.150
fc2.com 52.27.98.36
daum.net 203.133.167.16
kugou.com 183.131.48.92
naver.com 125.209.222.141
soso.com 119.28.109.132
paypal.com 64.4.250.37
7k7k.com 157.185.156.194
ebay.de 66.135.196.249
flickr.com 99.84.234.85
163.com 123.58.180.7
sogou.com 119.28.109.132
2345.com 14.29.109.15
youdao.com 103.72.47.249
4shared.com 204.155.149.42
ask.com 151.101.42.114
tmall.com 140.205.94.193
photobucket.com 2600:9000:202a:6600:c:873e:f1c0:93a1
amazon.co.jp 52.119.161.5
hotfile.com 18.207.9.28
adobe.com 192.147.130.204
ku6.com 117.50.1.222
mediafire.com 104.16.203.237
linkedin.com 2620:109:c002::6cae:a0a
qiyi.com 111.206.13.64
twitter.com 104.244.42.129
rakuten.co.jp 133.237.16.234
ehow.com 96.6.142.254
dailymotion.com 195.8.215.136
pconline.com.cn 219.136.244.85
mozilla.com 44.236.72.93
about.com 2a04:4e42:400::645
seesaa.net 59.106.28.142
imdb.com 52.94.225.248
youku.com 2408:4001:f10::8
odnoklassniki.ru 217.20.155.13
orkut.com.br 132.148.40.250
aol.com 212.82.100.150
sdjjdsaf.com 
jp.msn.com 13.88.15.24
andysayler.com 159.89.253.85
wmfo.org 23.92.21.128
