facebook.com 31.13.67.35
youtube.com 172.217.5.110
yahoo.com 74.6.143.25
live.com 204.79.197.212
wikipedia.org 198.35.26.96
msn.com 13.82.28.61
baidu.com 220.181.38.148
blogspot.com 172.217.6.73
microsoft.com 40.76.4.15
qq.com 58.250.137.36
taobao.com 140.205.94.189
bing.com 13.107.21.200
sina.com.cn 123.126.55.41
soso.com 118.191.216.42
163.com ::
ask.com 151.101.190.114
adobe.com 192.147.130.204
twitter.com 104.244.42.129
mozilla.com 63.245.208.194
youku.com 106.11.43.183
sdjjdsaf.com 
andysayler.com 159.89.253.85
wmfo.org 23.92.21.128
amazon.com 176.32.98.166
wordpress.com 192.0.78.9
tudou.com 106.11.43.246
yahoo.co.jp 182.22.59.229
sohu.com 211.159.191.18
apple.com 17.142.160.59
hao123.com 202.106.2.86
windows.com 40.76.4.15
ebay.com 66.135.195.175
pps.tv 116.211.199.230
xunlei.com 39.104.2.218
56.com 183.232.65.145
fc2.com 52.27.98.36
paypal.com 64.4.250.36
sogou.com 118.191.216.42
tmall.com 140.205.94.193
ku6.com 117.50.1.222
rakuten.co.jp 133.237.16.234
about.com ::
orkut.com.br 132.148.40.250
ifeng.com 123.103.122.24
goo.ne.jp 114.179.184.93
bbc.co.uk 151.101.64.81
yandex.ru 5.255.255.80
myspace.com 63.135.90.70
mail.ru 217.69.139.202
cnet.com 35.190.79.82
go.com 23.236.60.174
4399.com 129.211.129.109
orkut.com 216.239.34.21
skype.com 104.40.50.126
ameblo.jp 151.101.129.83
naver.com 125.209.222.142
flickr.com 99.84.234.85
4shared.com 204.155.146.95
amazon.co.jp 52.119.164.121
linkedin.com 108.174.10.10
dailymotion.com 195.8.215.136
imdb.com 52.94.228.167
aol.com 98.136.103.23
hotmail.com 204.79.197.212
360.cn 36.99.170.84
craigslist.org 208.82.237.129
weather.com 23.192.169.70
soku.com 106.11.186.25
alibaba.com 198.11.132.198
renren.com 120.133.2.243
livedoor.jp 203.104.153.16
blogger.com 216.58.194.169
vkontakte.ru 87.240.137.158
answers.com 151.101.0.203
rapidshare.com 0.0.0.0
daum.net 211.231.99.17
7k7k.com 157.185.156.194
2345.com 58.211.78.133
photobucket.com 52.84.137.20
mediafire.com 104.16.202.237
ehow.com 184.30.177.147
seesaa.net 59.106.28.142
paipai.com 106.39.169.133
alipay.com 110.75.139.5
softonic.com 35.227.233.104
nifty.com 222.158.213.148
imageshack.us 208.94.3.19
cnn.com 151.101.129.67
tianya.cn 124.225.65.154
mywebsearch.com ::
zynga.com 13.35.121.118
partypoker.com 195.72.135.91
hp.com 15.72.164.74
walmart.com 161.170.232.170
kugou.com 183.131.48.92
ebay.de 66.135.195.175
youdao.com 103.72.47.249
hotfile.com 18.207.9.28
qiyi.com 111.206.13.63
pconline.com.cn 219.136.244.85
odnoklassniki.ru 217.20.147.1
jp.msn.com 13.88.15.24
